x,y,doc_top_reduced_20,doc_top_reduced_19,doc_top_reduced_18,doc_top_reduced_17,doc_top_reduced_16,doc_top_reduced_15,doc_top_reduced_14,doc_top_reduced_13,doc_top_reduced_12,doc_top_reduced_11,doc_top_reduced_10,doc_top_reduced_9,doc_top_reduced_8,doc_top_reduced_7,doc_top_reduced_6,doc_top_reduced_5,doc_top_reduced_4,doc_top_reduced_3,doc_top_reduced_2
15.248447,3.671567,19,18,3,3,3,4,2,1,1,1,1,1,1,1,1,1,1,1,1
13.65301,2.951013,19,18,3,3,3,4,2,1,1,1,1,1,1,1,1,1,1,1,1
13.493505,3.1543145,15,16,3,3,3,4,2,1,1,1,1,1,1,1,1,1,1,1,1
12.039338,-1.1688548,2,2,2,1,1,1,1,2,3,3,4,4,4,4,4,4,0,0,0
14.335284,3.4527857,19,18,9,9,9,8,2,7,7,7,6,8,1,1,1,1,1,1,1
14.703554,3.9206479,19,18,3,3,3,4,2,1,1,1,1,1,1,1,1,1,1,1,1
14.825704,4.4826636,19,18,3,3,3,4,2,1,1,1,1,1,1,1,1,1,1,1,1
13.239433,3.225028,19,18,3,3,3,4,2,7,7,7,6,8,1,1,1,1,1,1,1
14.282589,2.9614027,19,18,3,3,3,4,2,1,1,1,1,1,1,1,1,1,1,1,1
14.997915,3.6215205,19,18,3,3,3,4,2,1,1,1,1,1,1,1,1,1,1,1,1
14.648474,3.647346,19,18,3,3,3,4,2,1,1,1,1,1,1,1,1,1,1,1,1
13.924609,3.196517,19,18,3,3,3,4,2,1,1,1,1,1,1,1,1,1,1,1,1
15.134439,3.7941267,19,18,3,3,3,4,2,1,1,1,1,1,1,1,1,1,1,1,1
14.072828,3.3829238,19,18,3,3,3,4,2,1,1,1,1,1,1,1,1,1,1,1,1
15.043707,3.662534,19,18,3,3,3,4,2,1,1,1,1,1,1,1,1,1,1,1,1
15.092576,3.7456162,19,18,3,3,3,4,2,1,1,1,1,1,1,1,1,1,1,1,1
14.8883915,3.470829,19,18,3,3,3,4,2,1,1,1,1,1,1,1,1,1,1,1,1
14.988923,3.7236803,19,18,3,3,3,4,2,1,1,1,1,1,1,1,1,1,1,1,1
14.46442,3.3785105,19,18,3,3,3,4,2,1,1,1,1,1,1,1,1,1,1,1,1
13.736458,3.7817647,19,18,3,3,3,4,2,1,1,1,1,1,1,1,1,1,1,1,1
14.816927,3.5049746,19,18,3,3,3,4,2,1,1,1,1,1,1,1,1,1,1,1,1
11.500138,5.631617,13,13,13,13,13,13,13,1,1,1,1,1,1,1,1,1,1,1,1
11.280721,5.405149,6,7,8,8,7,6,8,8,8,8,7,5,5,5,5,0,0,0,1
9.629445,-1.0358063,14,14,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.9181833,1.8529267,10,10,12,12,12,11,11,11,11,0,0,0,0,0,0,0,0,0,0
13.93006,-1.2970431,12,12,14,1,1,1,1,2,3,3,4,4,4,4,4,4,0,0,0
6.166337,-2.0781794,3,3,5,4,5,5,5,6,5,6,5,6,6,6,0,0,0,0,0
9.837073,-2.538381,14,14,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.8131633,-3.2274814,3,3,5,4,5,5,5,6,5,6,5,6,6,6,0,0,0,0,0
6.7468014,-3.2592282,3,3,5,4,5,5,5,6,5,6,5,6,6,6,0,0,0,0,0
6.8655443,-3.3053164,3,3,5,4,5,5,5,6,5,6,5,6,6,6,0,0,0,0,0
8.18472,-0.6439728,14,14,15,14,0,0,0,0,0,0,5,6,6,6,0,0,0,0,0
14.402737,-1.9127766,2,2,2,1,1,1,1,2,3,3,4,4,4,4,4,4,0,0,0
4.5942707,3.859431,10,10,12,12,12,11,11,11,11,0,0,0,0,0,0,0,0,0,0
14.486032,1.753014,17,17,17,16,15,14,0,0,0,0,0,0,0,0,0,0,0,0,1
11.311714,5.4004683,13,13,13,13,13,13,13,7,7,7,6,8,1,1,1,1,1,1,1
4.2352457,4.101752,18,10,12,12,12,11,11,11,11,2,2,2,2,3,3,3,3,0,0
14.173202,-0.74571425,12,12,14,1,1,1,1,2,3,3,4,4,4,4,4,4,0,0,0
14.235503,-0.86102146,12,12,14,1,1,1,1,2,3,3,4,4,4,4,4,4,0,0,0
13.52257,-1.7012366,2,2,2,1,1,1,1,2,3,3,4,4,4,4,4,4,0,0,0
9.173867,-0.82424194,14,14,15,14,0,0,6,0,0,5,0,0,0,0,0,0,0,0,0
6.793159,-1.940858,3,3,5,4,5,5,5,6,5,6,5,6,6,6,0,0,0,0,0
9.359257,0.9613187,6,7,8,8,7,6,8,8,8,8,7,4,4,4,4,0,0,0,0
9.194708,1.7210901,7,6,6,6,6,7,6,5,6,5,5,6,6,6,2,2,2,2,0
12.301035,2.8592913,11,11,9,9,9,8,7,7,7,7,6,8,1,1,1,1,1,1,1
12.976007,3.264989,19,18,9,9,9,8,7,7,7,7,6,8,1,1,1,1,1,1,1
12.948351,3.4465318,11,11,9,9,9,8,7,7,7,7,6,8,1,1,1,1,1,1,1
13.195267,4.423333,13,13,13,13,13,13,13,1,1,1,1,1,1,1,1,1,1,1,1
11.742223,4.1771197,15,16,3,3,3,4,2,1,1,1,1,1,1,1,1,1,1,1,1
13.02212,4.266785,13,13,13,13,13,13,13,1,1,1,1,1,1,1,1,1,1,1,1
11.87197,2.76058,11,11,9,9,9,8,7,7,7,7,6,8,1,1,1,1,1,1,1
13.13009,3.1676106,11,11,9,9,9,8,7,7,7,7,6,8,1,1,1,1,1,1,1
13.125265,3.1618774,11,11,9,9,9,8,7,7,7,7,6,8,1,1,1,1,1,1,1
12.67618,2.7061355,11,11,9,9,9,8,7,7,7,7,6,8,1,1,1,1,1,1,1
10.729636,4.0313997,5,5,4,5,4,2,3,3,4,4,3,3,3,2,2,2,2,2,0
8.059082,4.6343055,6,7,8,8,7,6,8,8,8,8,7,0,0,0,0,0,0,0,0
8.074639,4.5939884,6,7,8,8,7,6,8,8,8,8,7,0,0,0,0,0,0,0,0
